"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Farmington School District","=""0520011""","Math","Y",66,59,89.4,59,17,28.8,30,50.8,"*","*","*","*",12,20.3,464
"Farmington School District","=""0520011""","Math","N",247,241,97.6,241,"*","*",61,25.3,90,37.3,"*","*","*","*",593
"Franklin School District","=""0530011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","Y",99,91,91.9,91,15,16.5,23,25.3,44,48.4,9,9.9,53,58.2,495
"Glastonbury School District","=""0540011""","ELA","N",396,392,99.0,392,7,1.8,26,6.6,230,58.7,129,32.9,359,91.6,588
"Glastonbury School District","=""0540011""","Math","Y",99,91,91.9,91,25,27.5,32,35.2,28,30.8,6,6.6,34,37.4,490
"Glastonbury School District","=""0540011""","Math","N",396,392,99.0,392,6,1.5,85,21.7,176,44.9,125,31.9,301,76.8,602
"Granby School District","=""0560011""","ELA","Y",32,29,90.6,29,"*","*",6,20.7,13,44.8,"*","*","*","*",492
"Granby School District","=""0560011""","ELA","N",124,122,98.4,122,"*","*",10,8.2,70,57.4,"*","*","*","*",583
"Granby School District","=""0560011""","Math","Y",32,29,90.6,29,"*","*",16,55.2,8,27.6,"*","*","*","*",487
"Granby School District","=""0560011""","Math","N",124,122,98.4,122,"*","*",33,27.0,62,50.8,"*","*","*","*",571
"Greenwich School District","=""0570011""","ELA","Y",147,134,91.2,134,40,29.9,37,27.6,48,35.8,9,6.7,57,42.5,470
"Greenwich School District","=""0570011""","ELA","N",500,483,96.6,483,8,1.7,31,6.4,233,48.2,211,43.7,444,91.9,603
"Greenwich School District","=""0570011""","Math","Y",147,134,91.2,134,44,32.8,58,43.3,20,14.9,12,9.0,32,23.9,462
"Greenwich School District","=""0570011""","Math","N",500,483,96.6,483,13,2.7,106,21.9,168,34.8,196,40.6,364,75.4,607
"Griswold School District","=""0580011""","ELA","Y",50,41,82.0,41,13,31.7,"*","*",13,31.7,"*","*","*","*",467
"Griswold School District","=""0580011""","ELA","N",84,84,100.0,84,"*","*",12,14.3,50,59.5,"*","*","*","*",538
"Griswold School District","=""0580011""","Math","Y",50,41,82.0,41,12,29.3,20,48.8,"*","*","*","*",9,22.0,457
"Griswold School District","=""0580011""","Math","N",84,84,100.0,84,"*","*",43,51.2,29,34.5,"*","*","*","*",500
"Groton School District","=""0590011""","ELA","Y",102,90,88.2,90,27,30.0,"*","*",34,37.8,"*","*","*","*",461
"Groton School District","=""0590011""","ELA","N",156,150,96.2,150,"*","*",23,15.3,80,53.3,"*","*","*","*",558
"Groton School District","=""0590011""","Math","Y",102,90,88.2,90,35,38.9,43,47.8,"*","*","*","*",12,13.3,443
"Groton School District","=""0590011""","Math","N",156,150,96.2,150,"*","*",61,40.7,53,35.3,"*","*","*","*",532
"Guilford School District","=""0600011""","ELA","Y",43,40,93.0,40,"*","*",6,15.0,25,62.5,"*","*","*","*",517
"Guilford School District","=""0600011""","ELA","N",215,214,99.5,214,"*","*",14,6.5,114,53.3,"*","*","*","*",600
"Guilford School District","=""0600011""","Math","Y",43,40,93.0,40,"*","*",16,40.0,8,20.0,"*","*","*","*",460
"Guilford School District","=""0600011""","Math","N",215,214,99.5,213,"*","*",57,26.8,107,50.2,"*","*","*","*",580
"Hamden School District","=""0620011""","ELA","Y",201,168,83.6,168,45,26.8,48,28.6,63,37.5,12,7.1,75,44.6,471
"Hamden School District","=""0620011""","ELA","N",214,207,96.7,206,11,5.3,26,12.6,116,56.3,53,25.7,169,82.0,558
"Hamden School District","=""0620011""","Math","Y",201,168,83.6,168,64,38.1,71,42.3,24,14.3,9,5.4,33,19.6,450
"Hamden School District","=""0620011""","Math","N",214,207,96.7,206,24,11.7,92,44.7,70,34.0,20,9.7,90,43.7,521
"Hartford School District","=""0640011""","ELA","Y",1095,935,85.4,934,482,51.6,203,21.7,229,24.5,20,2.1,249,26.7,430
"Hartford School District","=""0640011""","ELA","N",234,228,97.4,228,40,17.5,41,18.0,99,43.4,48,21.1,147,64.5,526
"Hartford School District","=""0640011""","Math","Y",1095,935,85.4,933,526,56.4,321,34.4,76,8.1,10,1.1,86,9.2,413
"Hartford School District","=""0640011""","Math","N",234,228,97.4,228,53,23.2,89,39.0,60,26.3,26,11.4,86,37.7,499
"Highville Charter School District","=""2860013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA","Y",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math","Y",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA","Y",83,64,77.1,64,16,25.0,"*","*",35,54.7,"*","*","*","*",469
"Killingly School District","=""0690011""","ELA","N",110,109,99.1,109,"*","*",15,13.8,75,68.8,"*","*","*","*",527
"Killingly School District","=""0690011""","Math","Y",83,64,77.1,64,28,43.8,26,40.6,"*","*","*","*",10,15.6,437
"Killingly School District","=""0690011""","Math","N",110,109,99.1,109,"*","*",68,62.4,22,20.2,"*","*","*","*",480
"Learn","=""2450014""","ELA","Y",97,88,90.7,88,"*","*","*","*",23,26.1,"*","*","*","*",448
"Learn","=""2450014""","ELA","N",98,98,100.0,98,"*","*","*","*",55,56.1,"*","*","*","*",577
"Learn","=""2450014""","Math","Y",97,88,90.7,87,34,39.1,39,44.8,14,16.1,0,0.0,14,16.1,435
"Learn","=""2450014""","Math","N",98,98,100.0,98,9,9.2,41,41.8,38,38.8,10,10.2,48,49.0,527
